kernel,C,A,gamma,mean_cindex,std,prop_censor
laplacian,0.25,,2.0,0.5773577162797907,0.1079824776311105,0.06
laplacian,0.25,,4.0,0.5495881779819488,0.08657041961066751,0.06
laplacian,0.25,,8.0,0.5450897642166045,0.0992676672922624,0.06
laplacian,0.5,,0.125,0.6749643948387322,0.11559699507198935,0.06
laplacian,0.5,,0.25,0.6694776911674772,0.11215199343850861,0.06
laplacian,0.5,,0.5,0.6447636273844153,0.1155402243591608,0.06
laplacian,0.5,,1.0,0.6084149707882613,0.1172012032041966,0.06
laplacian,0.5,,2.0,0.5629200459011932,0.1152435859786979,0.06
laplacian,0.5,,4.0,0.5610324154605383,0.08760547345567973,0.06
laplacian,0.5,,8.0,0.5277989824304683,0.09723284602073116,0.06
laplacian,1.0,,0.125,0.6477976528436231,0.11349876301869767,0.06
laplacian,1.0,,0.25,0.6668186269080727,0.1354185011117832,0.06
laplacian,1.0,,0.5,0.6620230861819226,0.10784810972323315,0.06
laplacian,1.0,,1.0,0.6137578387550456,0.11301587473774327,0.06
laplacian,1.0,,2.0,0.574084811812614,0.10674352604451899,0.06
laplacian,1.0,,4.0,0.5644327017286842,0.1083839064379985,0.06
laplacian,1.0,,8.0,0.5486974187524472,0.08885495475911474,0.06
laplacian,2.0,,0.125,0.6455672584266119,0.11347729119054599,0.06
laplacian,2.0,,0.25,0.6449085127419019,0.12346610103350274,0.06
laplacian,2.0,,0.5,0.6754545333689479,0.10253408180113521,0.06
laplacian,2.0,,1.0,0.6294859558277082,0.11455538681526187,0.06
laplacian,2.0,,2.0,0.5671889087923571,0.11239302407858362,0.06
laplacian,2.0,,4.0,0.552332265504712,0.10544155189266084,0.06
laplacian,2.0,,8.0,0.5449210677833004,0.10726808474606543,0.06
laplacian,4.0,,0.125,0.6430066891893105,0.11464228042591318,0.06
laplacian,4.0,,0.25,0.6535861141773593,0.11167860861103487,0.06
laplacian,4.0,,0.5,0.6844683168983372,0.12077692391360233,0.06
laplacian,4.0,,1.0,0.6577061284553597,0.10306208583879448,0.06
laplacian,4.0,,2.0,0.5917332295104983,0.11118059421902454,0.06
laplacian,4.0,,4.0,0.5682066907661032,0.11682448676950752,0.06
laplacian,4.0,,8.0,0.5455301586640656,0.09370920699548317,0.06
wavelet,0.25,0.125,,0.47805229520186576,0.10565835444141955,0.25
wavelet,0.25,0.25,,0.47038629175105734,0.10919137023365985,0.25
wavelet,0.25,0.5,,0.4771824477995175,0.11779196224949949,0.25
wavelet,0.25,1.0,,0.5316387030975235,0.122982200229947,0.25
wavelet,0.25,2.0,,0.6559734587928496,0.12728760646447107,0.25
wavelet,0.25,4.0,,0.6488388767753592,0.15806869277665211,0.25
wavelet,0.25,8.0,,0.6382683137202089,0.12306038590657573,0.25
wavelet,0.5,0.125,,0.4802119392886855,0.09463891116490183,0.25
wavelet,0.5,0.25,,0.4960108931451109,0.09905018487239979,0.25
wavelet,0.5,0.5,,0.4956734487533847,0.10063741089287805,0.25
wavelet,0.5,1.0,,0.5165638739548326,0.11746549927402254,0.25
wavelet,0.5,2.0,,0.6681190328233,0.11691098223377054,0.25
wavelet,0.5,4.0,,0.658606694414962,0.10953507281835259,0.25
wavelet,0.5,8.0,,0.6252359805619957,0.12289822894032672,0.25
wavelet,1.0,0.125,,0.47769677346647876,0.10928414212447657,0.25
wavelet,1.0,0.25,,0.4728548460058019,0.10807701679309353,0.25
wavelet,1.0,0.5,,0.4826522966486512,0.10541985903724015,0.25
wavelet,1.0,1.0,,0.5231661875400343,0.10998202664137903,0.25
wavelet,1.0,2.0,,0.6586131472136085,0.13101648292763157,0.25
wavelet,1.0,4.0,,0.6768944595682368,0.13707881312447923,0.25
wavelet,1.0,8.0,,0.6315705675757498,0.11916305668430917,0.25
wavelet,2.0,0.125,,0.4775708412234708,0.09695275424001988,0.25
wavelet,2.0,0.25,,0.45742172164322825,0.11941828479762191,0.25
wavelet,2.0,0.5,,0.4792466145772941,0.11790719811951962,0.25
wavelet,2.0,1.0,,0.4970407843779302,0.11976256388070518,0.25
wavelet,2.0,2.0,,0.71619150430568,0.1213509902121962,0.25
wavelet,2.0,4.0,,0.7087471561180196,0.11488873012576309,0.25
wavelet,2.0,8.0,,0.6328494046849172,0.11467916485115759,0.25
wavelet,4.0,0.125,,0.47256516221439754,0.10519333048349364,0.25
wavelet,4.0,0.25,,0.44522464905531506,0.10691102302988637,0.25
wavelet,4.0,0.5,,0.48285899980014313,0.11280906045468826,0.25
wavelet,4.0,1.0,,0.538406658271425,0.12262776061235826,0.25
wavelet,4.0,2.0,,0.7011503984832324,0.11570354420997124,0.25
wavelet,4.0,4.0,,0.7236474841505094,0.12969011512007556,0.25
wavelet,4.0,8.0,,0.6374036074256226,0.10940664960229193,0.25
linear,0.25,,0.125,0.619133167473005,0.11892632921203775,0.25
linear,0.25,,0.25,0.6233576848105714,0.13017913514919036,0.25
linear,0.25,,0.5,0.6066870674528202,0.12891799755242966,0.25
linear,0.25,,1.0,0.6150954695859595,0.11280695925115902,0.25
linear,0.25,,2.0,0.6142162212647401,0.11590584628587952,0.25
linear,0.25,,4.0,0.6265323374966144,0.10372111445488678,0.25
linear,0.25,,8.0,0.6099717701444072,0.11435188906000048,0.25
linear,0.5,,0.125,0.5947662421777439,0.10800203822487839,0.25
linear,0.5,,0.25,0.6045769620463773,0.1222338406208917,0.25
linear,0.5,,0.5,0.6073688898134844,0.12760527684683753,0.25
linear,0.5,,1.0,0.5994818234080685,0.11966946195301204,0.25
linear,0.5,,2.0,0.5964432288765976,0.13175849746646282,0.25
linear,0.5,,4.0,0.6118816390305748,0.11801869127145405,0.25
linear,0.5,,8.0,0.6124893424405742,0.11697401713112966,0.25
linear,1.0,,0.125,0.6019456542381623,0.12891933003735007,0.25
linear,1.0,,0.25,0.5922345283086671,0.12011837066775297,0.25
linear,1.0,,0.5,0.5714077805458989,0.12198588443712584,0.25
linear,1.0,,1.0,0.6038959105025478,0.12160651274268659,0.25
linear,1.0,,2.0,0.6020536341024532,0.10981240929399051,0.25
linear,1.0,,4.0,0.5919920345035465,0.11888848583879415,0.25
linear,1.0,,8.0,0.5998854061845319,0.13551648302375474,0.25
linear,2.0,,0.125,0.6275378103678056,0.11698131043275899,0.25
linear,2.0,,0.25,0.5771439095383437,0.12321513143096208,0.25
linear,2.0,,0.5,0.6013653953967338,0.10272292263887196,0.25
linear,2.0,,1.0,0.607806115387022,0.10885811785849338,0.25
linear,2.0,,2.0,0.576440085308587,0.12150655725553544,0.25
linear,2.0,,4.0,0.5966498215084075,0.12065896146652734,0.25
linear,2.0,,8.0,0.5873425337243607,0.1190173224663042,0.25
linear,4.0,,0.125,0.5941141754490974,0.11637327359242434,0.25
linear,4.0,,0.25,0.5918159501687432,0.13115076722007704,0.25
linear,4.0,,0.5,0.5894601980047118,0.12161594785556731,0.25
linear,4.0,,1.0,0.5865849023607808,0.12003997893476513,0.25
linear,4.0,,2.0,0.5735049799617007,0.10977453172487543,0.25
linear,4.0,,4.0,0.6031467302328538,0.11720930871689007,0.25
linear,4.0,,8.0,0.5556821559109255,0.13148432850887787,0.25
rbf,0.25,,0.125,0.6418129502306656,0.12008895732478217,0.25
rbf,0.25,,0.25,0.6479052776756717,0.1281223754927141,0.25
rbf,0.25,,0.5,0.6509860363885219,0.14259933928344573,0.25
rbf,0.25,,1.0,0.6017558974917437,0.11762707898669063,0.25
rbf,0.25,,2.0,0.5800816004627474,0.11717926592500988,0.25
rbf,0.25,,4.0,0.5485064226570223,0.10582120297296295,0.25
rbf,0.25,,8.0,0.5675721617110743,0.10436308456306523,0.25
rbf,0.5,,0.125,0.6397670739947459,0.11944147996531167,0.25
rbf,0.5,,0.25,0.6439781181916271,0.12691053424115192,0.25
rbf,0.5,,0.5,0.6377718561250522,0.12902158826224813,0.25
rbf,0.5,,1.0,0.6361048906068294,0.11414137428064072,0.25
rbf,0.5,,2.0,0.5943807409098557,0.1100814288316474,0.25
rbf,0.5,,4.0,0.5756945378061525,0.10423281025982477,0.25
rbf,0.5,,8.0,0.5551118997538991,0.11489233408704903,0.25
rbf,1.0,,0.125,0.6637000745374884,0.1180669963941517,0.25
rbf,1.0,,0.25,0.6694865306037764,0.13299677811923,0.25
rbf,1.0,,0.5,0.6866201760751154,0.11093132592005282,0.25
rbf,1.0,,1.0,0.6431498051303342,0.11445844560396969,0.25
rbf,1.0,,2.0,0.5865599503049655,0.09791857994506956,0.25
rbf,1.0,,4.0,0.5731038808864415,0.09956104203720802,0.25
rbf,1.0,,8.0,0.5785263522126899,0.11606258981448113,0.25
rbf,2.0,,0.125,0.6911836385582484,0.13441451727306994,0.25
rbf,2.0,,0.25,0.6961876073405958,0.1198720619971784,0.25
rbf,2.0,,0.5,0.7086244188581344,0.11894985993261506,0.25
rbf,2.0,,1.0,0.642866509342939,0.13145003631166502,0.25
rbf,2.0,,2.0,0.6005489870351906,0.11571990432887357,0.25
rbf,2.0,,4.0,0.5702041908564268,0.09003887645942055,0.25
rbf,2.0,,8.0,0.5796707998871576,0.10812089605574908,0.25
rbf,4.0,,0.125,0.6994254596244137,0.12365957403521348,0.25
rbf,4.0,,0.25,0.7408228759861986,0.10494060998974068,0.25
rbf,4.0,,0.5,0.7001994016160715,0.11727257025635518,0.25
rbf,4.0,,1.0,0.6700578816292223,0.11424260593850386,0.25
rbf,4.0,,2.0,0.5982925063496292,0.11117363661658286,0.25
rbf,4.0,,4.0,0.5745845075089169,0.11517626310320349,0.25
rbf,4.0,,8.0,0.5633103447987817,0.10305398283030062,0.25
exponential,0.25,,0.125,0.6671173109197757,0.11077520673180558,0.25
exponential,0.25,,0.25,0.642138501271868,0.12212843785157466,0.25
exponential,0.25,,0.5,0.6567466639164066,0.14470136308182993,0.25
exponential,0.25,,1.0,0.6247940231208122,0.12632894882708176,0.25
exponential,0.25,,2.0,0.620093924296778,0.11162272809852684,0.25
exponential,0.25,,4.0,0.593032603095115,0.08422830075451912,0.25
exponential,0.25,,8.0,0.5878313173405543,0.10074912773685699,0.25
exponential,0.5,,0.125,0.6334575688201597,0.11904163406082117,0.25
exponential,0.5,,0.25,0.6398114421617275,0.12948042113614458,0.25
exponential,0.5,,0.5,0.6552869882274841,0.1345944810912079,0.25
exponential,0.5,,1.0,0.6516617904969939,0.1295901219609722,0.25
exponential,0.5,,2.0,0.6297314558906769,0.10887116349733474,0.25
exponential,0.5,,4.0,0.5905326784078935,0.10891573913735361,0.25
exponential,0.5,,8.0,0.5471802537239043,0.10487191110425459,0.25
exponential,1.0,,0.125,0.6409164610452496,0.11517913678918947,0.25
exponential,1.0,,0.25,0.6999406822419314,0.11798505856897079,0.25
exponential,1.0,,0.5,0.702602746679789,0.11681038753958169,0.25
exponential,1.0,,1.0,0.6541002912249173,0.10610246373735295,0.25
exponential,1.0,,2.0,0.6272018558646781,0.11846420966627647,0.25
exponential,1.0,,4.0,0.5809870243445111,0.10298964906026338,0.25
exponential,1.0,,8.0,0.5708968188223161,0.10878646145139202,0.25
exponential,2.0,,0.125,0.6684758347803188,0.13555562637114296,0.25
exponential,2.0,,0.25,0.6688039319865239,0.12772174553671947,0.25
exponential,2.0,,0.5,0.690902444777971,0.1176479357077026,0.25
exponential,2.0,,1.0,0.6623041546488728,0.11530063529195884,0.25
exponential,2.0,,2.0,0.608468913279374,0.10822821822929234,0.25
exponential,2.0,,4.0,0.5957746711181237,0.10659937877902395,0.25
exponential,2.0,,8.0,0.5721571341337903,0.09677195491727544,0.25
exponential,4.0,,0.125,0.6803836801879755,0.12876279354234152,0.25
exponential,4.0,,0.25,0.7161491757914017,0.105117572877785,0.25
exponential,4.0,,0.5,0.7463734287147646,0.12393375436251049,0.25
exponential,4.0,,1.0,0.6688579248730676,0.11424319223130235,0.25
exponential,4.0,,2.0,0.6106593073446998,0.11173786514736768,0.25
exponential,4.0,,4.0,0.5999194589147805,0.12082858173364448,0.25
exponential,4.0,,8.0,0.5701253687230041,0.12305489231521115,0.25
poly,0.25,,0.125,0.6908540081919015,0.12107421970756438,0.25
poly,0.25,,0.25,0.7569174479813507,0.11164208750713378,0.25
poly,0.25,,0.5,0.7508700974875018,0.12821271551019717,0.25
poly,0.25,,1.0,0.6822954371948025,0.1413853212663882,0.25
poly,0.25,,2.0,0.611095968552938,0.14566797453279995,0.25
poly,0.25,,4.0,0.5587958248972147,0.13785722654376922,0.25
poly,0.25,,8.0,0.502565151978094,0.15688769494448726,0.25
poly,0.5,,0.125,0.6909177300591207,0.1344288973872696,0.25
