kernel,C,A,gamma,mean_cindex,std,dataset
laplacian,4.0,,4.0,0.6723393015266825,0.04405027719206128,cgd
laplacian,4.0,,8.0,0.6096175641407326,0.030901757182687176,cgd
wavelet,0.25,0.125,,0.49575246670320594,0.010060452759580646,lung
wavelet,0.25,0.25,,0.500116328722792,0.03472032581259624,lung
wavelet,0.25,0.5,,0.4676398144656499,0.032681598102354104,lung
wavelet,0.25,1.0,,0.49595617520366286,0.03352997307181209,lung
wavelet,0.25,2.0,,0.549573135115599,0.04693342505486161,lung
wavelet,0.25,4.0,,0.6442823891040141,0.04066364313793245,lung
wavelet,0.25,8.0,,0.6751057862448298,0.046092466329409325,lung
wavelet,0.5,0.125,,0.4992306410691444,0.007113333882361511,lung
wavelet,0.5,0.25,,0.509854605487505,0.037139870276812335,lung
wavelet,0.5,0.5,,0.4776096309211123,0.061176223325149805,lung
wavelet,0.5,1.0,,0.5024721506667446,0.03885952790824472,lung
wavelet,0.5,2.0,,0.5293224418367373,0.021833049927250846,lung
wavelet,0.5,4.0,,0.6309906495485611,0.043416486225745725,lung
wavelet,0.5,8.0,,0.6884551501953016,0.041259792737829155,lung
wavelet,1.0,0.125,,0.5074301431776909,0.01817443585647961,lung
wavelet,1.0,0.25,,0.5095056771572615,0.038274162607456,lung
wavelet,1.0,0.5,,0.483248238955034,0.023460641830989573,lung
wavelet,1.0,1.0,,0.5129285795408979,0.036810650335884265,lung
wavelet,1.0,2.0,,0.5423202852131654,0.03723627326460907,lung
wavelet,1.0,4.0,,0.6094935559684076,0.05061842572636805,lung
wavelet,1.0,8.0,,0.7082000615042596,0.03577766825891277,lung
wavelet,2.0,0.125,,0.5016699653089659,0.018613216332082936,lung
wavelet,2.0,0.25,,0.49321917245164393,0.0453653683525502,lung
wavelet,2.0,0.5,,0.46285232086945116,0.04851693478595542,lung
wavelet,2.0,1.0,,0.5174609282516037,0.0346626971182307,lung
wavelet,2.0,2.0,,0.5383407923659219,0.03729037185987424,lung
wavelet,2.0,4.0,,0.6277697688248635,0.036033517695841885,lung
wavelet,2.0,8.0,,0.6828915856051456,0.059703238065207144,lung
wavelet,4.0,0.125,,0.5095727590139697,0.014137653246352367,lung
wavelet,4.0,0.25,,0.49258338008515556,0.04058269419700155,lung
wavelet,4.0,0.5,,0.45507704054879533,0.03586298046253452,lung
wavelet,4.0,1.0,,0.48867544934468227,0.05125574357276354,lung
wavelet,4.0,2.0,,0.5082199996543968,0.05698108989667507,lung
wavelet,4.0,4.0,,0.639745194091583,0.04876094413572205,lung
wavelet,4.0,8.0,,0.6891936560007529,0.033660311219299875,lung
linear,0.25,,0.125,0.601062563455257,0.03281386230367114,lung
linear,0.25,,0.25,0.6120195921595784,0.0577929344216499,lung
linear,0.25,,0.5,0.5870545079922312,0.04706627893924684,lung
linear,0.25,,1.0,0.5726078170148032,0.0479547505321972,lung
linear,0.25,,2.0,0.6290960430580105,0.053494695609667145,lung
linear,0.25,,4.0,0.6129237032918254,0.04061493468816821,lung
