kernel,C,A,gamma,mean_cindex,std,dataset
poly,1.0,,0.5,0.6550374713195255,0.049591566778219645,veterans
poly,1.0,,1.0,0.6410947057632119,0.04258726994486992,veterans
poly,1.0,,2.0,0.5826771644104494,0.05379207065794629,veterans
poly,1.0,,4.0,0.5828919716596163,0.042881119179385356,veterans
poly,1.0,,8.0,0.5284402255670807,0.04531559988563259,veterans
poly,2.0,,0.125,0.711989962768174,0.02530551726694554,veterans
poly,2.0,,0.25,0.6816279592660232,0.03485111021895,veterans
poly,2.0,,0.5,0.6289682798160294,0.03900678309390073,veterans
poly,2.0,,1.0,0.5956251776853696,0.04524752832223994,veterans
poly,2.0,,2.0,0.5756790627200136,0.041455861217675326,veterans
poly,2.0,,4.0,0.5692574831221332,0.06482769505044104,veterans
poly,2.0,,8.0,0.5335448300078671,0.05436116753887845,veterans
poly,4.0,,0.125,0.697504871364557,0.04738324964339204,veterans
poly,4.0,,0.25,0.6729547482638368,0.04301567870621057,veterans
poly,4.0,,0.5,0.6450774986236225,0.04025413385959686,veterans
poly,4.0,,1.0,0.6108537241157652,0.06355081225689146,veterans
poly,4.0,,2.0,0.6023604733740674,0.05964000195173119,veterans
poly,4.0,,4.0,0.573917695021086,0.03797958550297465,veterans
poly,4.0,,8.0,0.5150815458788772,0.07382744119001539,veterans
cauchy,0.25,,0.125,0.6889392687726283,0.03280478205550409,veterans
cauchy,0.25,,0.25,0.6797396033645953,0.04149542231252803,veterans
cauchy,0.25,,0.5,0.6720174023356171,0.026857618531404108,veterans
cauchy,0.25,,1.0,0.6650384169562844,0.036741423737598734,veterans
cauchy,0.25,,2.0,0.6833915369934611,0.02533543371078233,veterans
cauchy,0.25,,4.0,0.6697917915652084,0.023123599889343146,veterans
cauchy,0.25,,8.0,0.6445449415923412,0.03088395327128937,veterans
cauchy,0.5,,0.125,0.671672163017137,0.03588111045609536,veterans
cauchy,0.5,,0.25,0.6833994363840444,0.02034776187988278,veterans
cauchy,0.5,,0.5,0.6625655446246819,0.047821905032064,veterans
cauchy,0.5,,1.0,0.6832902706740362,0.03139681002009695,veterans
cauchy,0.5,,2.0,0.6694671633211937,0.02693229098467247,veterans
cauchy,0.5,,4.0,0.6515376546548094,0.02503452367151135,veterans
cauchy,0.5,,8.0,0.6817107487525319,0.03274118780488003,veterans
cauchy,1.0,,0.125,0.7034052350102844,0.046271066830277804,veterans
cauchy,1.0,,0.25,0.6745779843376921,0.04070922427095231,veterans
cauchy,1.0,,0.5,0.6802264579789735,0.03494811101706678,veterans
cauchy,1.0,,1.0,0.690795203226658,0.03716313384726377,veterans
cauchy,1.0,,2.0,0.6393806446181648,0.036537659433463585,veterans
cauchy,1.0,,4.0,0.6639690588676727,0.02958136297112949,veterans
cauchy,1.0,,8.0,0.6749389733215084,0.026293682389831294,veterans
cauchy,2.0,,0.125,0.6872511922213395,0.024926749304240988,veterans
cauchy,2.0,,0.25,0.6837767712782883,0.04231784250822603,veterans
cauchy,2.0,,0.5,0.6636363139127287,0.024157461340578727,veterans
cauchy,2.0,,1.0,0.6635436723489299,0.04657530222186048,veterans
cauchy,2.0,,2.0,0.6783267571568636,0.039774455925082434,veterans
cauchy,2.0,,4.0,0.6675649120021114,0.045051929249857084,veterans
cauchy,2.0,,8.0,0.6612946668698617,0.037079294297008965,veterans
cauchy,4.0,,0.125,0.66986341439987,0.03428110320071889,veterans
cauchy,4.0,,0.25,0.6862836838765898,0.0256765869844259,veterans
cauchy,4.0,,0.5,0.6800549994233223,0.03667414341449487,veterans
cauchy,4.0,,1.0,0.66854213702945,0.04044513321836407,veterans
cauchy,4.0,,2.0,0.6635628943980466,0.03169148430748854,veterans
cauchy,4.0,,4.0,0.6391598701616193,0.03655705163798101,veterans
cauchy,4.0,,8.0,0.6585215067633727,0.03223680092500455,veterans
laplacian,0.25,,0.125,0.6716350651167691,0.03308851217703593,veterans
laplacian,0.25,,0.25,0.6616569954075209,0.03338247966459478,veterans
laplacian,0.25,,0.5,0.654408340316535,0.029775001513212423,veterans
laplacian,0.25,,1.0,0.6551675967801056,0.03585098347693285,veterans
laplacian,0.25,,2.0,0.6337986526038382,0.039687083213400504,veterans
laplacian,0.25,,4.0,0.6208821610205527,0.03192497348572925,veterans
laplacian,0.25,,8.0,0.608046852350638,0.03154539959237358,veterans
laplacian,0.5,,0.125,0.7016642613495818,0.018720644850932777,veterans
laplacian,0.5,,0.25,0.6540336414087508,0.04415941434534162,veterans
laplacian,0.5,,0.5,0.6666493304036065,0.029929121404722186,veterans
laplacian,0.5,,1.0,0.6502510696353746,0.02468126483721058,veterans
laplacian,0.5,,2.0,0.631394854796457,0.04749241114063964,veterans
laplacian,0.5,,4.0,0.5955103565480877,0.027243768896657018,veterans
laplacian,0.5,,8.0,0.6034613140887244,0.045425273174195924,veterans
laplacian,1.0,,0.125,0.6974057366547449,0.04046003837588653,veterans
laplacian,1.0,,0.25,0.6800077449084186,0.044160420063111244,veterans
laplacian,1.0,,0.5,0.6678238879143541,0.0489102408773281,veterans
laplacian,1.0,,1.0,0.6460310225318848,0.03172923254810087,veterans
laplacian,1.0,,2.0,0.6310068701028082,0.038288139155264675,veterans
laplacian,1.0,,4.0,0.613603567328468,0.025372049452906335,veterans
laplacian,1.0,,8.0,0.608319075478344,0.04109851192442921,veterans
laplacian,2.0,,0.125,0.6952535784872348,0.03587135261196215,veterans
laplacian,2.0,,0.25,0.6791004522189189,0.0261767967999839,veterans
laplacian,2.0,,0.5,0.6612626832124491,0.048230350305031235,veterans
laplacian,2.0,,1.0,0.6585097696562897,0.038651989221221726,veterans
laplacian,2.0,,2.0,0.6277299069079167,0.0414508903582927,veterans
laplacian,2.0,,4.0,0.6212157916835425,0.04940988893153283,veterans
laplacian,2.0,,8.0,0.6208572178376339,0.03619473905353236,veterans
laplacian,4.0,,0.125,0.7012989353356127,0.03241541147000284,veterans
laplacian,4.0,,0.25,0.7010720570279536,0.03604353256628955,veterans
laplacian,4.0,,0.5,0.6728448033313023,0.01767913526820482,veterans
laplacian,4.0,,1.0,0.6237480817115337,0.02641599868236172,veterans
laplacian,4.0,,2.0,0.6435039554163202,0.028558331218634,veterans
laplacian,4.0,,4.0,0.6182394690021044,0.04442823903559455,veterans
laplacian,4.0,,8.0,0.6276342128588727,0.03313179583801497,veterans
wavelet,0.25,0.125,,0.5004543992489559,0.003276018176749635,whas500
wavelet,0.25,0.25,,0.474129388581101,0.02427647314886698,whas500
wavelet,0.25,0.5,,0.506392794200613,0.03436286864834347,whas500
wavelet,0.25,1.0,,0.49933117511865877,0.030418955274309597,whas500
wavelet,0.25,2.0,,0.5315403955331659,0.03388034281522836,whas500
wavelet,0.25,4.0,,0.668909386035731,0.047788093974702246,whas500
wavelet,0.25,8.0,,0.709529423473336,0.03273060520255877,whas500
wavelet,0.5,0.125,,0.498701321170528,0.002142376640441699,whas500
wavelet,0.5,0.25,,0.4774637320731312,0.021762164634820932,whas500
wavelet,0.5,0.5,,0.5033042732447823,0.03369951653383361,whas500
wavelet,0.5,1.0,,0.5161196100020018,0.033774823968675115,whas500
wavelet,0.5,2.0,,0.5568201349724657,0.026402707601905648,whas500
wavelet,0.5,4.0,,0.647646377226951,0.0396053369477895,whas500
wavelet,0.5,8.0,,0.7300513705612331,0.02735631278911209,whas500
wavelet,1.0,0.125,,0.49873127713899146,0.00559389874692782,whas500
wavelet,1.0,0.25,,0.4756520942364767,0.028228632213322075,whas500
wavelet,1.0,0.5,,0.49051445920306647,0.029262672643877986,whas500
wavelet,1.0,1.0,,0.5101802887369192,0.04884435443400294,whas500
wavelet,1.0,2.0,,0.5120516924760357,0.0361815966345902,whas500
wavelet,1.0,4.0,,0.6342775075281238,0.03967363720222325,whas500
wavelet,1.0,8.0,,0.7148462188278321,0.03109775084286702,whas500
wavelet,2.0,0.125,,0.4992445456383514,0.0033046426181109144,whas500
wavelet,2.0,0.25,,0.4756529429165613,0.019047270530878783,whas500
wavelet,2.0,0.5,,0.46513256823582605,0.03879765394934552,whas500
wavelet,2.0,1.0,,0.5154591360262457,0.04253780446635373,whas500
wavelet,2.0,2.0,,0.5337647604177298,0.03271509576127967,whas500
wavelet,2.0,4.0,,0.6610259550815769,0.03127457508775663,whas500
wavelet,2.0,8.0,,0.7230438418652754,0.021626305815314623,whas500
wavelet,4.0,0.125,,0.49761873213458524,0.006969163869164758,whas500
wavelet,4.0,0.25,,0.4808775333068449,0.02735100878732834,whas500
wavelet,4.0,0.5,,0.4991819394307191,0.03041367006168787,whas500
wavelet,4.0,1.0,,0.4998488173567896,0.02691063764867294,whas500
wavelet,4.0,2.0,,0.5318467633563485,0.03307485423025573,whas500
wavelet,4.0,4.0,,0.6448989809288189,0.02630442963910933,whas500
wavelet,4.0,8.0,,0.717043456842251,0.030020161817873436,whas500
linear,0.25,,0.125,0.7441564243105004,0.025642531384895483,whas500
linear,0.25,,0.25,0.7605717100279007,0.01972353506230106,whas500
linear,0.25,,0.5,0.7417202461544954,0.019667917887511165,whas500
linear,0.25,,1.0,0.7604204462084334,0.02337667764761704,whas500
